Estados,Fechas,Confirmados,Defunciones
Ciudad de México,2020-03-08,3,0
Ciudad de México,2020-03-09,3,0
Ciudad de México,2020-03-10,3,0
Ciudad de México,2020-03-11,5,0
Ciudad de México,2020-03-12,5,0
Ciudad de México,2020-03-13,11,0
Ciudad de México,2020-03-14,17,0
Ciudad de México,2020-03-15,18,0
Ciudad de México,2020-03-16,21,0
Ciudad de México,2020-03-17,21,0
Ciudad de México,2020-03-18,24,0
Ciudad de México,2020-03-19,31,1
Ciudad de México,2020-03-20,31,1
Ciudad de México,2020-03-21,45,1
Ciudad de México,2020-03-22,56,1
Ciudad de México,2020-03-23,60,2
Ciudad de México,2020-03-24,66,3
Ciudad de México,2020-03-25,82,3
Ciudad de México,2020-03-26,83,3
Ciudad de México,2020-03-27,107,5
Ciudad de México,2020-03-28,177,7
Ciudad de México,2020-03-29,196,7
Ciudad de México,2020-03-30,205,8
Ciudad de México,2020-03-31,234,8
Ciudad de México,2020-04-01,296,8
Ciudad de México,2020-04-02,327,13
Ciudad de México,2020-04-03,384,15
Ciudad de México,2020-04-04,469,17
Ciudad de México,2020-04-05,560,19
Ciudad de México,2020-04-06,609,29
Ciudad de México,2020-04-07,723,32
Ciudad de México,2020-04-08,855,39
Ciudad de México,2020-04-09,909,43
Ciudad de México,2020-04-10,1040,46
Ciudad de México,2020-04-11,1117,49
Ciudad de México,2020-04-12,1328,56
Ciudad de México,2020-04-13,1437,64
Ciudad de México,2020-04-14,1556,92
Ciudad de México,2020-04-15,1686,99
Ciudad de México,2020-04-16,1828,110
Durango,2020-01-23,0,0
Durango,2020-01-24,0,0
Durango,2020-01-25,0,0
Durango,2020-01-26,0,0
Durango,2020-01-27,0,0
Durango,2020-01-28,0,0
Durango,2020-01-29,0,0
Durango,2020-01-30,0,0
Durango,2020-01-31,0,0
Durango,2020-02-01,0,0
Durango,2020-02-02,0,0
Durango,2020-02-03,0,0
Durango,2020-02-04,0,0
Durango,2020-02-05,0,0
Durango,2020-02-06,0,0
Durango,2020-02-07,0,0
Durango,2020-02-08,0,0
Durango,2020-02-09,0,0
Durango,2020-02-10,0,0
Durango,2020-02-11,0,0
Durango,2020-02-12,0,0
Durango,2020-02-13,0,0
Durango,2020-02-14,0,0
Durango,2020-02-15,0,0
Durango,2020-02-16,0,0
Durango,2020-02-17,0,0
Durango,2020-02-18,0,0
Durango,2020-02-19,0,0
Durango,2020-02-20,0,0
Durango,2020-02-21,0,0
Durango,2020-02-22,0,0
Durango,2020-02-23,0,0
Durango,2020-02-24,0,0
Durango,2020-02-25,0,0
Durango,2020-02-26,0,0
Durango,2020-02-27,0,0
Durango,2020-02-28,0,0
Durango,2020-02-29,0,0
Durango,2020-03-01,0,0
Durango,2020-03-02,0,0
